precio;currency;localidad;provincia;km;year;marca;title;fecha_visto;modelo
2850000;$;Capital Federal;Capital Federal;500;2022;fiat;Fiat Cronos Drive;26/2/2022;Cronos
2550000;$;Córdoba;Córdoba;500;2022;fiat;Fiat Cronos 1.3 Drive Pack Conec;26/2/2022;Cronos
2410000;$;Avellaneda;Bs.As. G.B.A. Sur;500;2021;fiat;Fiat Cronos 1.3 Gse Drive Pack Conectividad;26/2/2022;Cronos
3390000;$;San Miguel;Bs.As. G.B.A. Norte;500;2021;citroen;Citroën Berlingo 1.6 Hdi 92 Bussines Mixto;26/2/2022;Berlingo
4850000;$;San Isidro;Bs.As. G.B.A. Norte;500;2021;citroen;Citroën C4 Cactus 1.6 Thp 165 At6 Shine;26/2/2022;C4 Cactus
3400000;$;Escobar;Bs.As. G.B.A. Norte;500;2021;citroen;Citroën Berlingo 1.6 Hdi 92 Bussines;26/2/2022;Berlingo
3500000;$;Tigre;Bs.As. G.B.A. Norte;500;2021;volkswagen;Volkswagen Virtus 1.6 Msi Trendline;28/2/2022;Virtus
3000000;$;Vicente López;Bs.As. G.B.A. Norte;500;2022;volkswagen;Volkswagen Polo Trendline;28/2/2022;Polo
3400000;$;Capital Federal;Capital Federal;500;2022;volkswagen;Volkswagen Virtus Trendline 1.6;28/2/2022;Virtus
2418500;$;Tigre;Bs.As. G.B.A. Norte;500;2021;renault;Renault Sandero 1.6 16v Life;28/2/2022;Sandero
2418500;$;Capital Federal;Capital Federal;500;2021;renault;Renault Sandero 1.6 16v Life;28/2/2022;Sandero
3689000;$;Avellaneda;Bs.As. G.B.A. Sur;500;2021;renault;Renault Kangoo Ii Express Confort 1.6 Sce;28/2/2022;Kangoo
2649000;$;Capital Federal;Capital Federal;500;2021;renault;Renault Logan 1.6 16v Intense;28/2/2022;Logan
3099900;$;Tres de febrero;Bs.As. G.B.A. Oeste;500;2019;peugeot;Peugeot 208 1.6 Feline;28/2/2022;208
3099901;$;Tres de febrero;Bs.As. G.B.A. Oeste;500;2019;peugeot;Peugeot 208 1.6 Feline;28/2/2022;208
3099902;$;La Matanza;Bs.As. G.B.A. Oeste;500;2019;peugeot;Peugeot 208 1.6 Feline;28/2/2022;208
3099903;$;Capital Federal;Capital Federal;500;2019;peugeot;Peugeot 208 1.6 Feline;28/2/2022;208
3099904;$;Capital Federal;Capital Federal;500;2019;peugeot;Peugeot 208 1.6 Feline;28/2/2022;208
3855000;$;Capital Federal;Capital Federal;500;2021;peugeot;Peugeot 208 1.6 Feline Tiptronic;28/2/2022;208
3292000;$;Capital Federal;Capital Federal;500;2021;peugeot;Peugeot 208 1.6 Allure Nav Tiptronic;28/2/2022;208
2295002;$;Tres de febrero;Bs.As. G.B.A. Oeste;500;2018;peugeot;Peugeot 301 1.6 Allure;28/2/2022;301
2295001;$;La Matanza;Bs.As. G.B.A. Oeste;500;2018;peugeot;Peugeot 301 1.6 Allure;28/2/2022;301
2799001;$;La Matanza;Bs.As. G.B.A. Oeste;500;2019;peugeot;Peugeot 301 1.6 Hdi Allure;28/2/2022;301
2798999;$;Capital Federal;Capital Federal;500;2019;peugeot;Peugeot 301 1.6 Hdi Allure;28/2/2022;301
2295003;$;Capital Federal;Capital Federal;500;2018;peugeot;Peugeot 301 1.6 Allure;28/2/2022;301
2799002;$;Tres de febrero;Bs.As. G.B.A. Oeste;500;2019;peugeot;Peugeot 301 1.6 Hdi Allure;28/2/2022;301
5200000;$;Castelar;Bs.As. G.B.A. Oeste;500;2021;chevrolet;Chevrolet Cruze Ltz 1.4t At;28/2/2022;Cruze
7399000;$;Avellaneda;Bs.As. G.B.A. Sur;500;2022;toyota;Toyota Hilux 2.8 177cv Srv 4x2;28/2/2022;Hilux
8750000;$;Capital Federal;Capital Federal;500;2022;toyota;Toyota Hilux Srv 4x4 At;28/2/2022;Hilux
6000000;$;Capital Federal;Capital Federal;500;2022;toyota;Toyota Corolla Cross Xli;28/2/2022;Corolla Cross
3547000;$;San Miguel;Bs.As. G.B.A. Norte;500;2022;toyota;Toyota Etios Xls Pack 1.5 4a/t 5p;28/2/2022;Etios
7000000;$;Capital Federal;Capital Federal;500;2022;toyota;Toyota Hilux 4x4 Dc Dx 2.4;28/2/2022;Hilux
9900000;$;Capital Federal;Capital Federal;500;2022;toyota;Toyota Hilux Srv Full 4x4 Diesel;28/2/2022;Hilux
5950000;$;Pilar;Bs.As. G.B.A. Norte;500;2021;toyota;Toyota Corolla 1.8 Se-g Cvt 140cv;28/2/2022;Corolla
6500000;$;Avellaneda;Bs.As. G.B.A. Sur;500;2022;toyota;Toyota Corolla Seg Híbrido;28/2/2022;Corolla
2850000;$;Capital Federal;Capital Federal;500;2022;fiat;Fiat Cronos Drive;28/2/2022;Cronos
2410000;$;Avellaneda;Bs.As. G.B.A. Sur;500;2021;fiat;Fiat Cronos 1.3 Gse Drive Pack Conectividad;28/2/2022;Cronos
2490000;$;Vicente López;Bs.As. G.B.A. Norte;500;2021;fiat;Fiat Cronos 1.3 Drive Gse Pack Conectividad L/21;28/2/2022;Cronos
3390000;$;San Miguel;Bs.As. G.B.A. Norte;500;2021;citroen;Citroën Berlingo 1.6 Hdi 92 Bussines Mixto;28/2/2022;Berlingo
4850000;$;San Isidro;Bs.As. G.B.A. Norte;500;2021;citroen;Citroën C4 Cactus 1.6 Thp 165 At6 Shine;28/2/2022;C4 Cactus
3400000;$;Escobar;Bs.As. G.B.A. Norte;500;2021;citroen;Citroën Berlingo 1.6 Hdi 92 Bussines;28/2/2022;Berlingo
3500000;$;Tigre;Bs.As. G.B.A. Norte;500;2021;volkswagen;Volkswagen Virtus 1.6 Msi Trendline;1/3/2022;Virtus
3000000;$;Vicente López;Bs.As. G.B.A. Norte;500;2022;volkswagen;Volkswagen Polo Trendline;1/3/2022;Polo
3400000;$;Capital Federal;Capital Federal;500;2022;volkswagen;Volkswagen Virtus Trendline 1.6;1/3/2022;Virtus
2418500;$;Tigre;Bs.As. G.B.A. Norte;500;2021;renault;Renault Sandero 1.6 16v Life;1/3/2022;Sandero
2418500;$;Capital Federal;Capital Federal;500;2021;renault;Renault Sandero 1.6 16v Life;1/3/2022;Sandero
3689000;$;Avellaneda;Bs.As. G.B.A. Sur;500;2021;renault;Renault Kangoo Ii Express Confort 1.6 Sce;1/3/2022;Kangoo
2649000;$;Capital Federal;Capital Federal;500;2021;renault;Renault Logan 1.6 16v Intense;1/3/2022;Logan
3099900;$;Tres de febrero;Bs.As. G.B.A. Oeste;500;2019;peugeot;Peugeot 208 1.6 Feline;1/3/2022;208
3099901;$;Tres de febrero;Bs.As. G.B.A. Oeste;500;2019;peugeot;Peugeot 208 1.6 Feline;1/3/2022;208
3099902;$;La Matanza;Bs.As. G.B.A. Oeste;500;2019;peugeot;Peugeot 208 1.6 Feline;1/3/2022;208
3099903;$;Capital Federal;Capital Federal;500;2019;peugeot;Peugeot 208 1.6 Feline;1/3/2022;208
3099904;$;Capital Federal;Capital Federal;500;2019;peugeot;Peugeot 208 1.6 Feline;1/3/2022;208
3855000;$;Capital Federal;Capital Federal;500;2021;peugeot;Peugeot 208 1.6 Feline Tiptronic;1/3/2022;208
3292000;$;Capital Federal;Capital Federal;500;2021;peugeot;Peugeot 208 1.6 Allure Nav Tiptronic;1/3/2022;208
2295002;$;Tres de febrero;Bs.As. G.B.A. Oeste;500;2018;peugeot;Peugeot 301 1.6 Allure;1/3/2022;301
2295001;$;La Matanza;Bs.As. G.B.A. Oeste;500;2018;peugeot;Peugeot 301 1.6 Allure;1/3/2022;301
2799001;$;La Matanza;Bs.As. G.B.A. Oeste;500;2019;peugeot;Peugeot 301 1.6 Hdi Allure;1/3/2022;301
2798999;$;Capital Federal;Capital Federal;500;2019;peugeot;Peugeot 301 1.6 Hdi Allure;1/3/2022;301
2295003;$;Capital Federal;Capital Federal;500;2018;peugeot;Peugeot 301 1.6 Allure;1/3/2022;301
2799002;$;Tres de febrero;Bs.As. G.B.A. Oeste;500;2019;peugeot;Peugeot 301 1.6 Hdi Allure;1/3/2022;301
5200000;$;Castelar;Bs.As. G.B.A. Oeste;500;2021;chevrolet;Chevrolet Cruze Ltz 1.4t At;1/3/2022;Cruze
7399000;$;Avellaneda;Bs.As. G.B.A. Sur;500;2022;toyota;Toyota Hilux 2.8 177cv Srv 4x2;1/3/2022;Hilux
8750000;$;Capital Federal;Capital Federal;500;2022;toyota;Toyota Hilux Srv 4x4 At;1/3/2022;Hilux
6000000;$;Capital Federal;Capital Federal;500;2022;toyota;Toyota Corolla Cross Xli;1/3/2022;Corolla Cross
3547000;$;San Miguel;Bs.As. G.B.A. Norte;500;2022;toyota;Toyota Etios Xls Pack 1.5 4a/t 5p;1/3/2022;Etios
7000000;$;Capital Federal;Capital Federal;500;2022;toyota;Toyota Hilux 4x4 Dc Dx 2.4;1/3/2022;Hilux
9900000;$;Capital Federal;Capital Federal;500;2022;toyota;Toyota Hilux Srv Full 4x4 Diesel;1/3/2022;Hilux
5950000;$;Pilar;Bs.As. G.B.A. Norte;500;2021;toyota;Toyota Corolla 1.8 Se-g Cvt 140cv;1/3/2022;Corolla
6500000;$;Avellaneda;Bs.As. G.B.A. Sur;500;2022;toyota;Toyota Corolla Seg Híbrido;1/3/2022;Corolla
2850000;$;Capital Federal;Capital Federal;500;2022;fiat;Fiat Cronos Drive;1/3/2022;Cronos
2410000;$;Avellaneda;Bs.As. G.B.A. Sur;500;2021;fiat;Fiat Cronos 1.3 Gse Drive Pack Conectividad;1/3/2022;Cronos
2490000;$;Vicente López;Bs.As. G.B.A. Norte;500;2021;fiat;Fiat Cronos 1.3 Drive Gse Pack Conectividad L/21;1/3/2022;Cronos
3390000;$;San Miguel;Bs.As. G.B.A. Norte;500;2021;citroen;Citroën Berlingo 1.6 Hdi 92 Bussines Mixto;1/3/2022;Berlingo
3400000;$;Escobar;Bs.As. G.B.A. Norte;500;2021;citroen;Citroën Berlingo 1.6 Hdi 92 Bussines;1/3/2022;Berlingo
5556821;$;Capital Federal;Capital Federal;502;2022;ford;Ford Ranger 3.2 Xls 4x4 - Venta Empresas - 3 Unidades- A;26/2/2022;Ranger
5556821;$;Capital Federal;Capital Federal;502;2022;ford;Ford Ranger 3.2 Xls 4x4 - Venta Empresas - 3 Unidades- A;28/2/2022;Ranger
5556821;$;Capital Federal;Capital Federal;502;2022;ford;Ford Ranger 3.2 Xls 4x4 - Venta Empresas - 3 Unidades- A;1/3/2022;Ranger
3760000;$;Capital Federal;Capital Federal;520;2021;renault;Renault Kangoo Ii Express Confort 5a 1.5 Dci;26/2/2022;Kangoo
3760000;$;Capital Federal;Capital Federal;520;2021;renault;Renault Kangoo Ii Express Confort 5a 1.5 Dci;28/2/2022;Kangoo
3760000;$;Capital Federal;Capital Federal;520;2021;renault;Renault Kangoo Ii Express Confort 5a 1.5 Dci;1/3/2022;Kangoo
3480000;$;Tigre;Bs.As. G.B.A. Norte;540;2021;citroen;Citroën Berlingo 1.6 Hdi 92 Bussines;26/2/2022;Berlingo
3480000;$;Tigre;Bs.As. G.B.A. Norte;540;2021;citroen;Citroën Berlingo 1.6 Hdi 92 Bussines;28/2/2022;Berlingo
3480000;$;Tigre;Bs.As. G.B.A. Norte;540;2021;citroen;Citroën Berlingo 1.6 Hdi 92 Bussines;1/3/2022;Berlingo
3390000;$;Tigre;Bs.As. G.B.A. Norte;550;2021;fiat;Fiat Cronos 1.8 16v Precision At6 Pack Premium;26/2/2022;Cronos
2650000;$;Tigre;Bs.As. G.B.A. Norte;550;2019;fiat;Fiat Mobi 1.0 Easy Pack Top Live On;26/2/2022;Mobi
3390000;$;Tigre;Bs.As. G.B.A. Norte;550;2021;fiat;Fiat Cronos 1.8 16v Precision At6 Pack Premium;28/2/2022;Cronos
2650000;$;Tigre;Bs.As. G.B.A. Norte;550;2019;fiat;Fiat Mobi 1.0 Easy Pack Top Live On;28/2/2022;Mobi
3390000;$;Tigre;Bs.As. G.B.A. Norte;550;2021;fiat;Fiat Cronos 1.8 16v Precision At6 Pack Premium;1/3/2022;Cronos
2650000;$;Tigre;Bs.As. G.B.A. Norte;550;2019;fiat;Fiat Mobi 1.0 Easy Pack Top Live On;1/3/2022;Mobi
5556721;$;Capital Federal;Capital Federal;600;2022;ford;Ford Ranger 3.2 Xls 4x4 - Venta Empresas - 3 Unidades- B;26/2/2022;Ranger
2418500;$;Ezeiza;Bs.As. G.B.A. Sur;600;2021;renault;Renault Sandero 1.6 16v Life;26/2/2022;Sandero
3390000;$;Tigre;Bs.As. G.B.A. Norte;600;2021;fiat;Fiat Cronos 1.8 16v Precision;26/2/2022;Cronos
5556721;$;Capital Federal;Capital Federal;600;2022;ford;Ford Ranger 3.2 Xls 4x4 - Venta Empresas - 3 Unidades- B;28/2/2022;Ranger
2418500;$;Ezeiza;Bs.As. G.B.A. Sur;600;2021;renault;Renault Sandero 1.6 16v Life;28/2/2022;Sandero
3390000;$;Tigre;Bs.As. G.B.A. Norte;600;2021;fiat;Fiat Cronos 1.8 16v Precision;28/2/2022;Cronos
5556721;$;Capital Federal;Capital Federal;600;2022;ford;Ford Ranger 3.2 Xls 4x4 - Venta Empresas - 3 Unidades- B;1/3/2022;Ranger
2418500;$;Ezeiza;Bs.As. G.B.A. Sur;600;2021;renault;Renault Sandero 1.6 16v Life;1/3/2022;Sandero
3390000;$;Tigre;Bs.As. G.B.A. Norte;600;2021;fiat;Fiat Cronos 1.8 16v Precision;1/3/2022;Cronos
7665000;$;Almirante Brown;Bs.As. G.B.A. Sur;666;2022;toyota;Toyota Hilux Srv 4x2 At;26/2/2022;Hilux
7665000;$;Almirante Brown;Bs.As. G.B.A. Sur;666;2022;toyota;Toyota Hilux Srv 4x2 At;28/2/2022;Hilux
7665000;$;Almirante Brown;Bs.As. G.B.A. Sur;666;2022;toyota;Toyota Hilux Srv 4x2 At;1/3/2022;Hilux
3800000;$;Quilmes;Bs.As. G.B.A. Sur;672;2021;peugeot;Peugeot 208 1.6l Active Tiptronic;26/2/2022;208
3800000;$;Quilmes;Bs.As. G.B.A. Sur;672;2021;peugeot;Peugeot 208 1.6l Active Tiptronic;28/2/2022;208
3800000;$;Quilmes;Bs.As. G.B.A. Sur;672;2021;peugeot;Peugeot 208 1.6l Active Tiptronic;1/3/2022;208
5775720;$;Capital Federal;Capital Federal;700;2022;ford;Ford Transit Ford Transit Furgón Largo Techo Alto Ventas Corporativas - D;26/2/2022;Argo
3600000;$;La Matanza;Bs.As. G.B.A. Oeste;700;2018;peugeot;Peugeot 308 1.6 Allure;26/2/2022;308
3500000;$;Capital Federal;Capital Federal;700;2021;toyota;Toyota Etios 5 Puertas Xls Aut 1,5;26/2/2022;Etios
5775720;$;Capital Federal;Capital Federal;700;2022;ford;Ford Transit Ford Transit Furgón Largo Techo Alto Ventas Corporativas - D;28/2/2022;Argo
3600000;$;La Matanza;Bs.As. G.B.A. Oeste;700;2018;peugeot;Peugeot 308 1.6 Allure;28/2/2022;308
3500000;$;Capital Federal;Capital Federal;700;2021;toyota;Toyota Etios 5 Puertas Xls Aut 1,5;28/2/2022;Etios
2490000;$;San Isidro;Bs.As. G.B.A. Norte;700;2021;fiat;Fiat Mobi 1.0 Easy Pack Top;28/2/2022;Mobi
5775720;$;Capital Federal;Capital Federal;700;2022;ford;Ford Transit Ford Transit Furgón Largo Techo Alto Ventas Corporativas - D;1/3/2022;Argo
3600000;$;La Matanza;Bs.As. G.B.A. Oeste;700;2018;peugeot;Peugeot 308 1.6 Allure;1/3/2022;308
3500000;$;Capital Federal;Capital Federal;700;2021;toyota;Toyota Etios 5 Puertas Xls Aut 1,5;1/3/2022;Etios
2490000;$;San Isidro;Bs.As. G.B.A. Norte;700;2021;fiat;Fiat Mobi 1.0 Easy Pack Top;1/3/2022;Mobi
4750000;$;Caseros;Bs.As. G.B.A. Oeste;780;2021;chevrolet;Chevrolet Tracker 1.2 Turbo At;26/2/2022;Tracker
4750000;$;Caseros;Bs.As. G.B.A. Oeste;780;2021;chevrolet;Chevrolet Tracker 1.2 Turbo At;28/2/2022;Tracker
4750000;$;Caseros;Bs.As. G.B.A. Oeste;780;2021;chevrolet;Chevrolet Tracker 1.2 Turbo At;1/3/2022;Tracker
5775420;$;Capital Federal;Capital Federal;800;2022;ford;Ford Transit Furgón Largo Techo Alto Ventas Corporativas - C;26/2/2022;Argo
5464599;$;Capital Federal;Capital Federal;800;2022;ford;Ford Territory 1.5 Sel 4x2 (143cv) Automática - Ventas Para Empresas Sa O Srl - A;26/2/2022;Territory
6054798;$;Capital Federal;Capital Federal;800;2022;ford;Ford Territory 1.5 Titanium 4x2 (143cv) Automática - Ventas Para Empresas Sa O Srl - C;26/2/2022;Territory
6590000;$;Capital Federal;Capital Federal;800;2021;toyota;Toyota Hilux 2.4 Cd Dx 150cv 4x4;26/2/2022;Hilux
5775420;$;Capital Federal;Capital Federal;800;2022;ford;Ford Transit Furgón Largo Techo Alto Ventas Corporativas - C;28/2/2022;Argo
5464599;$;Capital Federal;Capital Federal;800;2022;ford;Ford Territory 1.5 Sel 4x2 (143cv) Automática - Ventas Para Empresas Sa O Srl - A;28/2/2022;Territory
6054798;$;Capital Federal;Capital Federal;800;2022;ford;Ford Territory 1.5 Titanium 4x2 (143cv) Automática - Ventas Para Empresas Sa O Srl - C;28/2/2022;Territory
6590000;$;Capital Federal;Capital Federal;800;2021;toyota;Toyota Hilux 2.4 Cd Dx 150cv 4x4;28/2/2022;Hilux
5775420;$;Capital Federal;Capital Federal;800;2022;ford;Ford Transit Furgón Largo Techo Alto Ventas Corporativas - C;1/3/2022;Argo
5464599;$;Capital Federal;Capital Federal;800;2022;ford;Ford Territory 1.5 Sel 4x2 (143cv) Automática - Ventas Para Empresas Sa O Srl - A;1/3/2022;Territory
6054798;$;Capital Federal;Capital Federal;800;2022;ford;Ford Territory 1.5 Titanium 4x2 (143cv) Automática - Ventas Para Empresas Sa O Srl - C;1/3/2022;Territory
6590000;$;Capital Federal;Capital Federal;800;2021;toyota;Toyota Hilux 2.4 Cd Dx 150cv 4x4;1/3/2022;Hilux
6054698;$;Capital Federal;Capital Federal;900;2022;ford;Ford Territory 1.5 Titanium 4x2 (143cv) Automática - Ventas Para Empresas Sa O Srl - B;26/2/2022;Territory
5775620;$;Capital Federal;Capital Federal;900;2022;ford;Ford Transit Furgón Largo Techo Alto Ventas Corporativas - B;26/2/2022;Argo
3599000;$;Capital Federal;Capital Federal;900;2021;peugeot;Peugeot 208 1.6 Allure;26/2/2022;208
6054698;$;Capital Federal;Capital Federal;900;2022;ford;Ford Territory 1.5 Titanium 4x2 (143cv) Automática - Ventas Para Empresas Sa O Srl - B;28/2/2022;Territory
5775620;$;Capital Federal;Capital Federal;900;2022;ford;Ford Transit Furgón Largo Techo Alto Ventas Corporativas - B;28/2/2022;Argo
3599000;$;Capital Federal;Capital Federal;900;2021;peugeot;Peugeot 208 1.6 Allure;28/2/2022;208
6054698;$;Capital Federal;Capital Federal;900;2022;ford;Ford Territory 1.5 Titanium 4x2 (143cv) Automática - Ventas Para Empresas Sa O Srl - B;1/3/2022;Territory
5775620;$;Capital Federal;Capital Federal;900;2022;ford;Ford Transit Furgón Largo Techo Alto Ventas Corporativas - B;1/3/2022;Argo
3599000;$;Capital Federal;Capital Federal;900;2021;peugeot;Peugeot 208 1.6 Allure;1/3/2022;208
5556921;$;Capital Federal;Capital Federal;920;2022;ford;Ford Ranger 3.2 Xls Cabina Doble 4x4 - Venta Empresas - B;26/2/2022;Ranger
5556921;$;Capital Federal;Capital Federal;920;2022;ford;Ford Ranger 3.2 Xls Cabina Doble 4x4 - Venta Empresas - B;28/2/2022;Ranger
5556921;$;Capital Federal;Capital Federal;920;2022;ford;Ford Ranger 3.2 Xls Cabina Doble 4x4 - Venta Empresas - B;1/3/2022;Ranger
4341742;$;Capital Federal;Capital Federal;950;2022;ford;Ford Ranger Xl 2.2 (160cv) Cabina Doble 4x2 Ventas X 3 Unidades;26/2/2022;Ranger
4922967;$;Capital Federal;Capital Federal;950;2022;ford;Ford Ranger Xl 2.2 160cv Cabina Doble 4x4 Ventas X 3 Unidades Solo Para Empresas;26/2/2022;Ranger
4922867;$;Capital Federal;Capital Federal;950;2022;ford;Ford Ranger Xl 2.2 Cabina Doble 4x4 Ventas X 3 Unidades Solo Para Empresas;26/2/2022;Ranger
5700000;$;Capital Federal;Capital Federal;950;2022;toyota;Toyota Corolla Xei Hv;26/2/2022;Corolla
4341742;$;Capital Federal;Capital Federal;950;2022;ford;Ford Ranger Xl 2.2 (160cv) Cabina Doble 4x2 Ventas X 3 Unidades;28/2/2022;Ranger
4922967;$;Capital Federal;Capital Federal;950;2022;ford;Ford Ranger Xl 2.2 160cv Cabina Doble 4x4 Ventas X 3 Unidades Solo Para Empresas;28/2/2022;Ranger
4922867;$;Capital Federal;Capital Federal;950;2022;ford;Ford Ranger Xl 2.2 Cabina Doble 4x4 Ventas X 3 Unidades Solo Para Empresas;28/2/2022;Ranger
5700000;$;Capital Federal;Capital Federal;950;2022;toyota;Toyota Corolla Xei Hv;28/2/2022;Corolla
4341742;$;Capital Federal;Capital Federal;950;2022;ford;Ford Ranger Xl 2.2 (160cv) Cabina Doble 4x2 Ventas X 3 Unidades;1/3/2022;Ranger
4922967;$;Capital Federal;Capital Federal;950;2022;ford;Ford Ranger Xl 2.2 160cv Cabina Doble 4x4 Ventas X 3 Unidades Solo Para Empresas;1/3/2022;Ranger
4922867;$;Capital Federal;Capital Federal;950;2022;ford;Ford Ranger Xl 2.2 Cabina Doble 4x4 Ventas X 3 Unidades Solo Para Empresas;1/3/2022;Ranger
5700000;$;Capital Federal;Capital Federal;950;2022;toyota;Toyota Corolla Xei Hv;1/3/2022;Corolla
4390000;$;Tigre;Bs.As. G.B.A. Norte;999;2022;ford;Ford Ecosport 1.5 Titanium At;26/2/2022;Ecosport
8899900;$;Capital Federal;Capital Federal;999;2022;toyota;Toyota Hilux Srx 4x2 Automática;26/2/2022;Hilux
11800000;$;Escobar;Bs.As. G.B.A. Norte;999;2021;volkswagen;Volkswagen Amarok 3.0 V6 Extreme Black Style;28/2/2022;Amarok
4390000;$;Tigre;Bs.As. G.B.A. Norte;999;2022;ford;Ford Ecosport 1.5 Titanium At;28/2/2022;Ecosport
8899900;$;Capital Federal;Capital Federal;999;2022;toyota;Toyota Hilux Srx 4x2 Automática;28/2/2022;Hilux
11800000;$;Escobar;Bs.As. G.B.A. Norte;999;2021;volkswagen;Volkswagen Amarok 3.0 V6 Extreme Black Style;1/3/2022;Amarok
4390000;$;Tigre;Bs.As. G.B.A. Norte;999;2022;ford;Ford Ecosport 1.5 Titanium At;1/3/2022;Ecosport
8899900;$;Capital Federal;Capital Federal;999;2022;toyota;Toyota Hilux Srx 4x2 Automática;1/3/2022;Hilux
5200000;$;Pilar;Bs.As. G.B.A. Norte;1000;2021;volkswagen;Volkswagen Virtus 1.4 Tsi Gts;26/2/2022;Virtus
9990000;$;Capital Federal;Capital Federal;1000;2022;ford;Ford Ranger Limited 4x4 At;26/2/2022;Ranger
6700000;$;San Miguel;Bs.As. G.B.A. Norte;1000;2022;volkswagen;Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline At Comfortline;26/2/2022;Amarok
5520000;$;Capital Federal;Capital Federal;1000;2021;volkswagen;Volkswagen Nivus 1.0 Tsi Tiptronic Highline;26/2/2022;Nivus
7745000;$;La Plata;Bs.As. G.B.A. Sur;1000;2021;volkswagen;Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline Pack;26/2/2022;Amarok
